published,ecosystem,fixed,severity
2022-03-16T23:54:32Z,npm,1.0,CRITICAL
2022-03-16T00:00:48Z,Packagist,1.0,MODERATE
2022-03-04T00:00:15Z,Maven,1.0,CRITICAL
2022-03-18T17:57:04Z,Maven,1.0,CRITICAL
2022-03-04T00:00:15Z,Maven,1.0,CRITICAL
2022-03-26T00:06:45Z,Packagist,1.0,HIGH
2022-03-15T19:09:16Z,Packagist,1.0,CRITICAL
2022-03-15T00:00:57Z,Packagist,1.0,CRITICAL
2022-03-16T23:54:33Z,npm,,LOW
2022-03-22T19:28:24Z,npm,,HIGH
2022-03-16T23:54:35Z,npm,0.0,LOW
2022-03-11T00:02:35Z,Go,1.0,MODERATE
2022-03-31T23:27:15Z,RubyGems,1.0,CRITICAL
2022-03-18T18:57:53Z,npm,1.0,HIGH
2022-03-18T17:53:10Z,Maven,1.0,HIGH
2022-03-03T19:26:11Z,npm,1.0,MODERATE
2022-03-12T00:00:34Z,Go,1.0,HIGH
2022-03-29T00:01:16Z,Packagist,1.0,HIGH
2022-03-16T00:00:46Z,Packagist,1.0,MODERATE
2022-03-31T22:44:47Z,npm,1.0,HIGH
2022-03-16T00:00:45Z,Packagist,1.0,HIGH
2022-03-14T22:26:58Z,Packagist,1.0,MODERATE
2022-03-18T17:49:01Z,Packagist,1.0,CRITICAL
2022-03-31T00:00:24Z,crates.io,0.0,CRITICAL
2022-03-18T17:58:01Z,Maven,1.0,CRITICAL
2022-04-12T20:22:57Z,Hex,1.0,MODERATE
2022-04-12T00:00:38Z,npm,1.0,HIGH
2022-04-04T00:00:55Z,Packagist,0.0,LOW
2022-04-05T18:31:22Z,npm,1.0,HIGH
2022-04-23T00:03:01Z,Maven,0.0,HIGH
2022-04-22T21:04:27Z,Packagist,1.0,HIGH
2022-04-27T21:09:43Z,Maven,1.0,HIGH
2022-04-01T00:00:41Z,Packagist,1.0,HIGH
2022-04-12T21:31:26Z,Hex,1.0,HIGH
2022-04-01T13:56:42Z,Go,1.0,MODERATE
2022-04-06T00:01:30Z,Go,1.0,HIGH
2022-04-08T21:53:38Z,Maven,1.0,MODERATE
2022-04-22T20:54:41Z,PyPI,1.0,MODERATE
2022-04-01T18:16:42Z,PyPI,1.0,MODERATE
2022-04-22T20:57:12Z,Packagist,1.0,HIGH
2022-04-20T20:31:44Z,PyPI,1.0,HIGH
2022-04-13T00:00:16Z,npm,1.0,MODERATE
2022-04-13T00:00:24Z,npm,0.0,CRITICAL
2022-04-01T00:00:40Z,Packagist,1.0,HIGH
2022-04-07T13:59:22Z,Packagist,1.0,HIGH
